"Metabolite","Replicate","nmol_in_Culture","Empirical_Formula","nmol_Carbon","nmol_Nitrogen"
"(3-Carboxypropyl)trimethylammonium","Smp_UCYNAnew_1",0.06422289651,"C7H16NO2",0.4495602756,0.06422289651
"(3-Carboxypropyl)trimethylammonium","Smp_UCYNAnew_2",0.1012533315,"C7H16NO2",0.7087733207,0.1012533315
"(3-Carboxypropyl)trimethylammonium","Smp_UCYNAnew_3",0.09865025932,"C7H16NO2",0.6905518152,0.09865025932
"2-Heptyl-3-hydroxy-quinolone","Smp_UCYNAnew_1",NA,"C16H21NO2",NA,NA
"2-Heptyl-3-hydroxy-quinolone","Smp_UCYNAnew_2",NA,"C16H21NO2",NA,NA
"2-Heptyl-3-hydroxy-quinolone","Smp_UCYNAnew_3",NA,"C16H21NO2",NA,NA
"2-O-alpha-D-Glucosylglycerol","Smp_UCYNAnew_1",25.83491028,"C9H18O8",232.5141925,NA
"2-O-alpha-D-Glucosylglycerol","Smp_UCYNAnew_2",15.5764557,"C9H18O8",140.1881013,NA
"2-O-alpha-D-Glucosylglycerol","Smp_UCYNAnew_3",17.00117417,"C9H18O8",153.0105675,NA
"2,3-Pyridinedicarboxylic acid","Smp_UCYNAnew_1",0.0001677485604,"C7H5NO4",0.001174239923,0.0001677485604
"2,3-Pyridinedicarboxylic acid","Smp_UCYNAnew_2",0.001059660666,"C7H5NO4",0.007417624664,0.001059660666
"2,3-Pyridinedicarboxylic acid","Smp_UCYNAnew_3",8.696123286e-05,"C7H5NO4",0.00060872863,8.696123286e-05
"4-Aminobutyric acid","Smp_UCYNAnew_1",0.1153640217,"C4H9NO2",0.4614560867,0.1153640217
"4-Aminobutyric acid","Smp_UCYNAnew_2",0.06978220465,"C4H9NO2",0.2791288186,0.06978220465
"4-Aminobutyric acid","Smp_UCYNAnew_3",0.1171112937,"C4H9NO2",0.468445175,0.1171112937
"5-Hydroxyectoine","Smp_UCYNAnew_1",0.0008273906981,"C6H10N2O3",0.004964344188,0.001654781396
"5-Hydroxyectoine","Smp_UCYNAnew_2",0.0007278205349,"C6H10N2O3",0.004366923209,0.00145564107
"5-Hydroxyectoine","Smp_UCYNAnew_3",0.001058852092,"C6H10N2O3",0.006353112549,0.002117704183
"5-Methylcytosine","Smp_UCYNAnew_1",0.00149325133,"C5H7N3O",0.007466256649,0.004479753989
"5-Methylcytosine","Smp_UCYNAnew_2",0.003382740342,"C5H7N3O",0.01691370171,0.01014822103
"5-Methylcytosine","Smp_UCYNAnew_3",0.00465402048,"C5H7N3O",0.0232701024,0.01396206144
"Acetylcholine","Smp_UCYNAnew_1",0.0001264949822,"C7H16NO2",0.0008854648751,0.0001264949822
"Acetylcholine","Smp_UCYNAnew_2",0.0005299465118,"C7H16NO2",0.003709625583,0.0005299465118
"Acetylcholine","Smp_UCYNAnew_3",0.0001550967038,"C7H16NO2",0.001085676927,0.0001550967038
"Adenine","Smp_UCYNAnew_1",0.1602532071,"C5H5N5",0.8012660357,0.8012660357
"Adenine","Smp_UCYNAnew_2",0.2128347023,"C5H5N5",1.064173512,1.064173512
"Adenine","Smp_UCYNAnew_3",0.1495094843,"C5H5N5",0.7475474216,0.7475474216
"Adenosine","Smp_UCYNAnew_1",3.545124935,"C10H13N5O4",35.45124935,17.72562467
"Adenosine","Smp_UCYNAnew_2",3.479462595,"C10H13N5O4",34.79462595,17.39731297
"Adenosine","Smp_UCYNAnew_3",4.400241765,"C10H13N5O4",44.00241765,22.00120882
"beta-Alanine","Smp_UCYNAnew_1",0.1757795153,"C3H7NO2",0.5273385458,0.1757795153
"beta-Alanine","Smp_UCYNAnew_2",0.2054611315,"C3H7NO2",0.6163833945,0.2054611315
"beta-Alanine","Smp_UCYNAnew_3",0.2062201392,"C3H7NO2",0.6186604175,0.2062201392
"beta-Alaninebetaine","Smp_UCYNAnew_1",0.05633634515,"C6H13NO2",0.3380180709,0.05633634515
"beta-Alaninebetaine","Smp_UCYNAnew_2",0.05589170536,"C6H13NO2",0.3353502321,0.05589170536
"beta-Alaninebetaine","Smp_UCYNAnew_3",0.05312201608,"C6H13NO2",0.3187320965,0.05312201608
"beta-Glutamic acid","Smp_UCYNAnew_1",-3.633272393,"C5H9NO4",-18.16636196,-3.633272393
"beta-Glutamic acid","Smp_UCYNAnew_2",-4.41406857,"C5H9NO4",-22.07034285,-4.41406857
"beta-Glutamic acid","Smp_UCYNAnew_3",-4.528966465,"C5H9NO4",-22.64483232,-4.528966465
"Betonicine","Smp_UCYNAnew_1",0.00037505009,"C7H13NO3",0.00262535063,0.00037505009
"Betonicine","Smp_UCYNAnew_2",0.0007150843079,"C7H13NO3",0.005005590155,0.0007150843079
"Betonicine","Smp_UCYNAnew_3",0.0009729242832,"C7H13NO3",0.006810469983,0.0009729242832
"Butyrylcarnitine","Smp_UCYNAnew_1",3.626097533e-06,"C11H21NO4",3.988707286e-05,3.626097533e-06
"Butyrylcarnitine","Smp_UCYNAnew_2",1.007160785e-05,"C11H21NO4",0.0001107876864,1.007160785e-05
"Butyrylcarnitine","Smp_UCYNAnew_3",9.301382034e-06,"C11H21NO4",0.0001023152024,9.301382034e-06
"Carnitine","Smp_UCYNAnew_1",0.1530600226,"C7H15NO3",1.071420158,0.1530600226
"Carnitine","Smp_UCYNAnew_2",0.2263984653,"C7H15NO3",1.584789257,0.2263984653
"Carnitine","Smp_UCYNAnew_3",0.2207684162,"C7H15NO3",1.545378913,0.2207684162
"Chitobiose","Smp_UCYNAnew_1",0.01495053266,"C16H28N2O11",0.2392085226,0.02990106532
"Chitobiose","Smp_UCYNAnew_2",0.02804630448,"C16H28N2O11",0.4487408717,0.05609260896
"Chitobiose","Smp_UCYNAnew_3",0.03146578519,"C16H28N2O11",0.503452563,0.06293157038
