"treatment","compound","area_per_L"
"C","FT0613",900657152.99927
"C","FT0462",856912874.390724
"C","FT0546",833965061.006004
"C","FT0430",619822972.968
"C","FT0568",572729403.796608
"C","FT1060",412929015.028984
"C","FT0606",217755776.544503
"C","FT0431",199482814.018884
"C","FT0622",192308148.145387
"C","FT0589",175807981.88268
"C","FT0605",170364496.343992
"C","FT0600",152919629.09392
"C","FT0432",141327167.416519
"C","FT0591",138066380.851118
"C","FT0252",135308933.655986
"C","FT1114",123583137.274293
"C","FT0621",120861259.589846
"C","FT1150",120568235.852587
"C","FT0601",84824956.8152516
"C","FT0609",82095354.5080297
"LH","FT0613",1340755482.25406
"LH","FT0462",1054633327.06836
"LH","FT0568",860285268.92138
"LH","FT0430",512643931.498557
"LH","FT1060",495200161.143882
"LH","FT0431",251211841.467751
"LH","FT0606",245621030.888568
"LH","FT0546",211009941.684322
"LH","FT0622",200933434.742254
"LH","FT0589",189547008.584524
"LH","FT0600",174573306.798198
"LH","FT0621",173565741.204889
"LH","FT0605",171578068.606093
"LH","FT0591",156013032.554345
"LH","FT0432",143759187.811973
"LH","FT1114",121180321.445412
"LH","FT0609",121143661.620279
"LH","FT0337",115933847.431935
"LH","FT0258",114452041.818614
"LH","FT1150",113464863.503793
"LL","FT0462",1103937390.04138
"LL","FT0613",1040882289.05809
"LL","FT0568",665105368.69806
"LL","FT0430",568331236.249179
"LL","FT1060",481220261.604342
"LL","FT0546",364523434.643341
"LL","FT0606",239552522.385814
"LL","FT0431",210667446.498148
"LL","FT0622",185951738.782571
"LL","FT0589",171020892.539395
"LL","FT0605",159567614.324176
"LL","FT0600",145644131.453875
"LL","FT0621",145186188.361511
"LL","FT0432",139009221.780672
"LL","FT1114",126594827.00974
"LL","FT0591",123279084.549697
"LL","FT1150",111434678.856274
"LL","FT0337",91520910.9794572
"LL","FT0252",89738924.9961726
"LL","FT0601",80866020.9422932
"RH","FT0462",1300393531.10476
"RH","FT0568",1052187712.60812
"RH","FT0613",1037484038.36077
"RH","FT0430",660017220.910805
"RH","FT1060",555691081.780408
"RH","FT0621",298039280.784841
"RH","FT0546",288850559.273371
"RH","FT0622",280986720.960237
"RH","FT0252",265769263.187428
"RH","FT0606",260729481.34948
"RH","FT0431",259299934.614111
"RH","FT0605",195387171.706106
"RH","FT0600",178772463.818163
"RH","FT0589",177655714.135481
"RH","FT0432",148258541.507467
"RH","FT0591",146067883.035333
"RH","FT1114",141219202.558625
"RH","FT1150",132419579.379421
"RH","FT0337",123702393.874266
"RH","FT0258",100828682.505147
"RL","FT0462",1090423427.01033
"RL","FT0613",714673576.953703
"RL","FT0568",634214691.437434
"RL","FT0430",550968200.897245
"RL","FT1060",488595715.672713
"RL","FT0431",290186181.574975
"RL","FT0606",230393377.556863
"RL","FT0546",209691716.218563
"RL","FT0600",192552101.650513
"RL","FT0589",188008007.901764
"RL","FT1015",183748666.577797
"RL","FT0622",183441173.600439
"RL","FT0605",169155518.537339
"RL","FT0432",154751680.048068
"RL","FT0591",150037832.516363
"RL","FT1114",123847294.972623
"RL","FT0621",117543587.352986
"RL","FT1150",116030673.603858
"RL","FT0736",97370089.7153098
"RL","FT0337",90974970.2630546
"Tote","FT0462",369655360.100648
"Tote","FT0430",313699134.446039
"Tote","FT0613",229340044.040504
"Tote","FT1060",198938514.837938
"Tote","FT0606",114796683.242647
"Tote","FT0431",102465096.72171
"Tote","FT0609",88482228.5308697
"Tote","FT0589",85454625.0195278
"Tote","FT0605",84987547.0207546
"Tote","FT0600",77459866.9436513
"Tote","FT0591",75338731.1238648
"Tote","FT0432",67778540.7178959
"Tote","FT1114",66059239.8300487
"Tote","FT0546",63368688.196772
"Tote","FT1150",54378086.9444458
"Tote","FT0337",51618428.5497674
"Tote","FT0794",48025682.7558552
"Tote","FT0568",47515263.068676
"Tote","FT0601",40541947.4210166
"Tote","FT0976",36005401.2492192
"ZF","FT0462",871549264.597124
"ZF","FT0430",619268774.410951
"ZF","FT0613",612659449.872032
"ZF","FT1060",392886255.322678
"ZF","FT0546",384082344.634983
"ZF","FT0568",344147893.399922
"ZF","FT0606",241868648.767923
"ZF","FT0431",224500200.458351
"ZF","FT0589",175117610.843692
"ZF","FT0605",165054422.640909
"ZF","FT0600",155097691.405195
"ZF","FT0591",148979844.457221
"ZF","FT0432",146286750.059131
"ZF","FT1150",143057482.15753
"ZF","FT1114",122116154.456192
"ZF","FT0622",91136109.5631638
"ZF","FT0601",83444098.212964
"ZF","FT0976",73145299.8155311
"ZF","FT0337",72835735.1459911
"ZF","FT0258",61256390.5116891
"ZH","FT0462",1181953523.84115
"ZH","FT0430",669528089.924634
"ZH","FT0613",580660578.294034
"ZH","FT0568",575139988.789719
"ZH","FT1060",458978391.993256
"ZH","FT0606",250298487.049848
"ZH","FT0546",227804200.460253
"ZH","FT0252",197374088.938012
"ZH","FT0605",173343491.994586
"ZH","FT0431",173314123.808038
"ZH","FT0589",161523072.833122
"ZH","FT0600",142559527.928736
"ZH","FT0622",135318283.1387
"ZH","FT0432",135172345.770251
"ZH","FT1150",134699131.444798
"ZH","FT1114",119540141.716591
"ZH","FT0591",116114105.318945
"ZH","FT0601",75536782.1075326
"ZH","FT0976",74166417.4107105
"ZH","FT0621",71454104.2819273
"ZL","FT0462",966624878.340966
"ZL","FT0613",802127202.29292
"ZL","FT0568",583787530.057957
"ZL","FT0430",577676838.271165
"ZL","FT0546",524768723.000885
"ZL","FT1060",461717013.210267
"ZL","FT1015",243491839.490045
"ZL","FT0606",234028029.283626
"ZL","FT0431",210337991.170183
"ZL","FT0589",174975825.802247
"ZL","FT0600",172719698.780971
"ZL","FT0605",166777687.202094
"ZL","FT0432",163035735.589559
"ZL","FT0622",161213011.040057
"ZL","FT0591",133340045.7795
"ZL","FT1114",119639155.938258
"ZL","FT0621",113894449.654166
"ZL","FT1150",110922391.370168
"ZL","FT0609",110826323.858355
"ZL","FT0258",102757074.885075
