"filename","treatment","timepoint","replicate","samp_type","filt_start_time","filt_end_time","vol_L_filt"
"Blk_27July-C_2.mzML","Blk","27July","2","Blk",NA,NA,NA
"Blk_27July-LH_1.mzML","Blk","27July","1","Blk",NA,NA,NA
"Blk_27July-ZH_3.mzML","Blk","27July","3","Blk",NA,NA,NA
"Poo_PERIDICE_Full1.mzML","Poo",NA,"1","Poo",NA,NA,NA
"Poo_PERIDICE_Full2.mzML","Poo",NA,"2","Poo",NA,NA,NA
"Poo_PERIDICE_Full3.mzML","Poo",NA,"3","Poo",NA,NA,NA
"Poo_PERIDICE_Full4.mzML","Poo",NA,"4","Poo",NA,NA,NA
"Poo_PERIDICE_Half1.mzML","Poo",NA,"1","Poo",NA,NA,NA
"Poo_PERIDICE_Half2.mzML","Poo",NA,"2","Poo",NA,NA,NA
"Poo_PERIDICE_Half3.mzML","Poo",NA,"3","Poo",NA,NA,NA
"Poo_PERIDICE_Half4.mzML","Poo",NA,"4","Poo",NA,NA,NA
"Smp_14July-C_1.mzML","C","14July","1","Smp",1425,"1440.0",2.09
"Smp_14July-C_2.mzML","C","14July","2","Smp",1444,"1512.0",2.09
"Smp_14July-C_3.mzML","C","14July","3","Smp",1535,"1557.0",2.09
"Smp_14July-LH_1.mzML","LH","14July","1","Smp",1433,"1449.0",2.09
"Smp_14July-LH_2.mzML","LH","14July","2","Smp",1444,"1502.0",2.09
"Smp_14July-LH_3.mzML","LH","14July","3","Smp",1535,"1606.0",2.09
"Smp_14July-LL_1.mzML","LL","14July","1","Smp",1425,"1440.0",2.09
"Smp_14July-LL_2.mzML","LL","14July","2","Smp",1516,"1532.0",2.09
"Smp_14July-LL_3.mzML","LL","14July","3","Smp",1522,"1538.0",2.09
"Smp_14July-RH_1.mzML","RH","14July","1","Smp",1425,"1438.0",2.09
"Smp_14July-RH_2.mzML","RH","14July","2","Smp",1516,"1539.0",2.09
"Smp_14July-RH_3.mzML","RH","14July","3","Smp",1522,"1539.0",2.09
"Smp_14July-RL_1.mzML","RL","14July","1","Smp",1433,"1447.0",2.09
"Smp_14July-RL_2.mzML","RL","14July","2","Smp",1444,"1503.0",2.09
"Smp_14July-RL_3.mzML","RL","14July","3","Smp",1535,"1601.0",2.09
"Smp_14July-ZF_1.mzML","ZF","14July","1","Smp",1433,"1445.0",2.09
"Smp_14July-ZF_2.mzML","ZF","14July","2","Smp",1516,"1529.0",2.09
"Smp_14July-ZF_3.mzML","ZF","14July","3","Smp",1522,"1546.0",2.09
"Smp_14July-ZH_1.mzML","ZH","14July","1","Smp",1433,"1447.0",2.09
"Smp_14July-ZH_2.mzML","ZH","14July","2","Smp",1516,"1529.0",2.09
"Smp_14July-ZH_3.mzML","ZH","14July","3","Smp",1522,"1536.0",2.09
"Smp_14July-ZL_1.mzML","ZL","14July","1","Smp",1425,"1454.0",2.09
"Smp_14July-ZL_2.mzML","ZL","14July","2","Smp",1444,"1458.0",2.09
"Smp_14July-ZL_3.mzML","ZL","14July","3","Smp",1535,"1558.0",2.09
"Smp_21July-C_1.mzML","C","21July","1","Smp",1334,"1358.0",2.09
"Smp_21July-C_2.mzML","C","21July","2","Smp",1337,"1403.0",2.09
"Smp_21July-C_3.mzML","C","21July","3","Smp",1427,"1455.0",2.09
"Smp_21July-LH_1.mzML","LH","21July","1","Smp",1335,"1354.0",2.09
"Smp_21July-LH_2.mzML","LH","21July","2","Smp",1337,"1451.0",1.79
"Smp_21July-LH_3.mzML","LH","21July","3","Smp",1427,"1527.0",1.89
"Smp_21July-LL_1.mzML","LL","21July","1","Smp",1334,"1359.0",2.09
"Smp_21July-LL_2.mzML","LL","21July","2","Smp",1404,"1422.0",2.09
"Smp_21July-LL_3.mzML","LL","21July","3","Smp",1413,"1435.0",2.09
"Smp_21July-RH_1.mzML","RH","21July","1","Smp",1334,"1444.0",2.09
"Smp_21July-RH_2.mzML","RH","21July","2","Smp",1446,"1532.0",1.79
"Smp_21July-RH_3.mzML","RH","21July","3","Smp",1413,"1514.0",2.09
"Smp_21July-RL_1.mzML","RL","21July","1","Smp",1335,"1354.0",2.09
"Smp_21July-RL_2.mzML","RL","21July","2","Smp",1337,"1358.0",2.09
"Smp_21July-RL_3.mzML","RL","21July","3","Smp",1427,"1527.0",1.89
"Smp_21July-ZF_1.mzML","ZF","21July","1","Smp",1335,"UNK",2.09
"Smp_21July-ZF_2.mzML","ZF","21July","2","Smp",1404,"1422.0",2.09
"Smp_21July-ZF_3.mzML","ZF","21July","3","Smp",1413,"1443.0",2.09
"Smp_21July-ZH_1.mzML","ZH","21July","1","Smp",1335,"1353.0",2.09
"Smp_21July-ZH_2.mzML","ZH","21July","2","Smp",1404,"1426.0",2.09
"Smp_21July-ZH_3.mzML","ZH","21July","3","Smp",1413,"1431.0",2.09
"Smp_21July-ZL_1.mzML","ZL","21July","1","Smp",1334,"1356.0",2.09
"Smp_21July-ZL_2.mzML","ZL","21July","2","Smp",1337,"1352.0",2.09
"Smp_21July-ZL_3.mzML","ZL","21July","3","Smp",1427,"1503.0",2.09
"Smp_27July-C_1.mzML","C","27July","1","Smp",1641,"1735.0",2.09
"Smp_27July-C_2.mzML","C","27July","2","Smp",1645,"1706.0",2.09
"Smp_27July-C_3.mzML","C","27July","3","Smp",1719,"1736.0",2.09
"Smp_27July-LH_1.mzML","LH","27July","1","Smp",1643,"1705.0",2.09
