"compound","filename","area_per_Lpc","mz","rt","treatment","date"
"FT0002","Smp_14July-C_1.mzML",166980.291870206,60.0451653490692,907.456237792969,"C",2022-07-14
"FT0002","Smp_14July-C_2.mzML",162518.210174626,60.0451481591296,910.364135742188,"C",2022-07-14
"FT0002","Smp_14July-C_3.mzML",291883.059044366,60.0451062642068,909.182312011719,"C",2022-07-14
"FT0002","Smp_14July-LH_1.mzML",91409.1987292798,60.045164598462,905.76318359375,"LH",2022-07-14
"FT0002","Smp_14July-LH_2.mzML",137221.831417658,60.0450946273172,904.490234375,"LH",2022-07-14
"FT0002","Smp_14July-LH_3.mzML",167415.643630889,60.0451107079994,904.586059570312,"LH",2022-07-14
"FT0002","Smp_14July-LL_1.mzML",194403.44670106,60.0451483325858,901.983825683594,"LL",2022-07-14
"FT0002","Smp_14July-LL_2.mzML",97764.6679835638,60.0451235115187,903.798095703125,"LL",2022-07-14
"FT0002","Smp_14July-LL_3.mzML",162081.507393027,60.0451973163185,906.513549804688,"LL",2022-07-14
"FT0002","Smp_14July-RH_1.mzML",133551.018172974,60.0451333578865,906.573974609375,"RH",2022-07-14
"FT0002","Smp_14July-RH_2.mzML",56326.5378391852,60.0451527309873,902.917541503906,"RH",2022-07-14
"FT0002","Smp_14July-RH_3.mzML",96009.8941538172,60.0451300067942,903.79345703125,"RH",2022-07-14
"FT0002","Smp_14July-RL_1.mzML",179569.028792016,60.0451592219633,919.338073730469,"RL",2022-07-14
"FT0002","Smp_14July-RL_2.mzML",119064.316598089,60.0451431803031,910.476684570312,"RL",2022-07-14
"FT0002","Smp_14July-RL_3.mzML",87423.183570237,60.0451767485555,911.164428710938,"RL",2022-07-14
"FT0002","Smp_14July-ZF_1.mzML",552957.519858648,60.0451501427689,909.278015136719,"ZF",2022-07-14
"FT0002","Smp_14July-ZF_2.mzML",328256.852274601,60.0451397482012,899.945861816406,"ZF",2022-07-14
"FT0002","Smp_14July-ZF_3.mzML",257414.841860842,60.0451151311472,914.871643066406,"ZF",2022-07-14
"FT0002","Smp_14July-ZH_1.mzML",123339.499161025,60.0451279346305,902.210083007812,"ZH",2022-07-14
"FT0002","Smp_14July-ZH_2.mzML",127839.987465869,60.0451292058199,918.037963867188,"ZH",2022-07-14
"FT0002","Smp_14July-ZH_3.mzML",271492.064652459,60.0451755250043,910.432739257812,"ZH",2022-07-14
"FT0002","Smp_14July-ZL_1.mzML",186272.697359652,60.0451700058588,908.022644042969,"ZL",2022-07-14
"FT0002","Smp_14July-ZL_2.mzML",376066.831891925,60.0451333397914,900.196533203125,"ZL",2022-07-14
"FT0002","Smp_14July-ZL_3.mzML",136621.562541752,60.0451721182134,904.744506835938,"ZL",2022-07-14
"FT0002","Smp_21July-C_1.mzML",211614.957326438,60.0451091329594,899.257690429688,"C",2022-07-21
"FT0002","Smp_21July-C_2.mzML",202560.716071553,60.0451146102182,899.344787597656,"C",2022-07-21
"FT0002","Smp_21July-C_3.mzML",302350.416856543,60.0451754413783,900.208679199219,"C",2022-07-21
"FT0002","Smp_21July-LH_1.mzML",166655.278366081,60.0451307556268,910.383361816406,"LH",2022-07-21
"FT0002","Smp_21July-LH_1.mzML",94712.3629227496,60.0451307556268,910.383361816406,"LH",2022-07-21
"FT0002","Smp_21July-LH_2.mzML",NA,60.0451214117887,897.054626464844,"LH",2022-07-21
"FT0002","Smp_21July-LH_3.mzML",96376.8562771312,60.0451259928667,905.797180175781,"LH",2022-07-21
"FT0002","Smp_21July-LL_1.mzML",131293.461251586,60.0451527288844,897.409240722656,"LL",2022-07-21
"FT0002","Smp_21July-LL_2.mzML",166729.123686429,60.0451748554481,924.406311035156,"LL",2022-07-21
"FT0002","Smp_21July-LL_3.mzML",179959.683083047,60.0451578595436,900.453002929688,"LL",2022-07-21
"FT0002","Smp_21July-RH_1.mzML",111207.171423959,60.0450895231217,903.750305175781,"RH",2022-07-21
"FT0002","Smp_21July-RH_1.mzML",88429.8065276546,60.0450895231217,903.750305175781,"RH",2022-07-21
"FT0002","Smp_21July-RH_1.mzML",139241.056920299,60.0450895231217,903.750305175781,"RH",2022-07-21
"FT0002","Smp_21July-RH_2.mzML",NA,60.0451260334272,911.706481933594,"RH",2022-07-21
"FT0002","Smp_21July-RH_3.mzML",NA,60.0451145863503,900.11083984375,"RH",2022-07-21
"FT0002","Smp_21July-RL_1.mzML",134432.829040603,60.0451479896074,905.645812988281,"RL",2022-07-21
"FT0002","Smp_21July-RL_1.mzML",75494.1196034388,60.0451479896074,905.645812988281,"RL",2022-07-21
"FT0002","Smp_21July-RL_1.mzML",100015.989024313,60.0451479896074,905.645812988281,"RL",2022-07-21
"FT0002","Smp_21July-RL_2.mzML",NA,60.0451555174779,901.865417480469,"RL",2022-07-21
"FT0002","Smp_21July-RL_3.mzML",NA,60.045118677593,909.704833984375,"RL",2022-07-21
"FT0002","Smp_21July-ZF_1.mzML",193476.172589556,60.0451573009642,901.092834472656,"ZF",2022-07-21
"FT0002","Smp_21July-ZF_2.mzML",208405.416602442,60.0451497372766,898.455139160156,"ZF",2022-07-21
"FT0002","Smp_21July-ZF_3.mzML",258204.664880557,60.0451332687221,910.148803710938,"ZF",2022-07-21
"FT0002","Smp_21July-ZH_1.mzML",153752.833950734,60.0450942486413,898.418029785156,"ZH",2022-07-21
