"","metabolite","date","treatment","nmol","replicate","pn_nm","pc_nm","cn_ratio","nm_metab_per_pc_nm"
"1","Succinic semialdehyde",2022-07-27,"C",9.67143364564469e-07,"230616_Smp_27July-C_1",1185.426254,11479.2730866667,9.68366699145729,8.42512724684475e-11
"2","Succinic semialdehyde",2022-07-27,"C",2.07646741388327e-05,"230616_Smp_27July-C_2",873.6222439,10625.53868,12.1626237818371,1.95422319415364e-09
"3","Succinic semialdehyde",2022-07-27,"C",1.32969624298213e-05,"230616_Smp_27July-C_3",517.7119853,5497.437682,10.618718202582,2.41875637323892e-09
"4","Succinic semialdehyde",2022-07-27,"LH",1.07126233620796e-05,"230616_Smp_27July-LH_1",2010.09345,20020.74554,9.96010684975865,5.35076145924564e-10
"5","Succinic semialdehyde",2022-07-27,"LH",1.82985304925041e-05,"230616_Smp_27July-LH_2",2574.28402,28262.54342,10.9787976774995,6.47448116065702e-10
"6","Succinic semialdehyde",2022-07-27,"LH",2.61398008764953e-05,"230616_Smp_27July-LH_3",2662.613278,28495.09614,10.7019282054373,9.1734383867551e-10
"7","Succinic semialdehyde",2022-07-27,"LL",3.36108395011341e-06,"230616_Smp_27July-LL_1",939.6974365,9737.048695,10.3618976883311,3.45185081783491e-10
"8","Succinic semialdehyde",2022-07-27,"LL",1.42359618865103e-05,"230616_Smp_27July-LL_2",966.664390666667,9603.34338,9.93451654237205,1.48239642416184e-09
"9","Succinic semialdehyde",2022-07-27,"LL",2.93601652872313e-05,"230616_Smp_27July-LL_3",1154.727914,10410.86432,9.01585922863557,2.82014676061318e-09
"10","Succinic semialdehyde",2022-07-27,"RH",1.15042494481363e-05,"230616_Smp_27July-RH_2",2509.253898,31183.55714,12.4274220176981,3.68920370324894e-10
"11","Succinic semialdehyde",2022-07-27,"RH",1.76427234890223e-05,"230616_Smp_27July-RH_3",1987.74662666667,22657.5995466667,11.3986356423415,7.78666930390596e-10
"12","Succinic semialdehyde",2022-07-27,"RL",2.07602682235423e-05,"230616_Smp_27July-RL_1",1186.245581,11993.75234,10.1106824186349,1.73092353710735e-09
"13","Succinic semialdehyde",2022-07-27,"RL",2.36288337858347e-05,"230616_Smp_27July-RL_2",1450.355648,18072.54212,12.460765843827,1.30744383545721e-09
"14","Succinic semialdehyde",2022-07-27,"RL",2.09734156152957e-05,"230616_Smp_27July-RL_3",2266.767342,21826.23696,9.62879451966271,9.60926780632537e-10
"15","Succinic semialdehyde",2022-07-27,"ZF",1.07869394638659e-05,"230616_Smp_27July-ZF_1",719.3131445,7946.02717,11.0466870107363,1.35752612382093e-09
"16","Succinic semialdehyde",2022-07-27,"ZF",1.45582680774997e-05,"230616_Smp_27July-ZF_2",662.2942942,7349.96006,11.0977251719769,1.98072750853828e-09
"17","Succinic semialdehyde",2022-07-27,"ZF",1.20437942379345e-05,"230616_Smp_27July-ZF_3",533.518494,5329.35629,9.9890750741248,2.2598966146312e-09
"18","Succinic semialdehyde",2022-07-27,"ZH",7.84599100751662e-06,"230616_Smp_27July-ZH_2",1119.460044,13829.30202,12.3535467783073,5.6734540876826e-10
"19","Succinic semialdehyde",2022-07-27,"ZH",5.89565415840118e-06,"230616_Smp_27July-ZH_3",1181.178816,10188.12289,8.6253857180588,5.78679136682575e-10
"20","Succinic semialdehyde",2022-07-27,"ZL",7.59593283562615e-06,"230616_Smp_27July-ZL_1",686.3991255,7511.747635,10.9437022221264,1.01120713909955e-09
"21","Succinic semialdehyde",2022-07-27,"ZL",2.81731307830199e-06,"230616_Smp_27July-ZL_2",770.5393265,7771.73842,10.0861022308898,3.62507450205972e-10
"22","Succinic semialdehyde",2022-07-27,"ZL",9.12689848240535e-06,"230616_Smp_27July-ZL_3",735.371196,8741.118965,11.886675753071,1.04413388250978e-09
"23","Ethanesulfonic acid",2022-07-27,"C",0.0023483308444963,"230616_Smp_27July-C_1",1185.426254,11479.2730866667,9.68366699145729,2.04571389387358e-07
"24","Ethanesulfonic acid",2022-07-27,"C",0.00030192580443981,"230616_Smp_27July-C_2",873.6222439,10625.53868,12.1626237818371,2.84151056744174e-08
"25","Ethanesulfonic acid",2022-07-27,"C",0.00092814157289848,"230616_Smp_27July-C_3",517.7119853,5497.437682,10.618718202582,1.68831667876373e-07
"26","Ethanesulfonic acid",2022-07-27,"LH",0.00062717354314614,"230616_Smp_27July-LH_1",2010.09345,20020.74554,9.96010684975865,3.13261832279469e-08
"27","Ethanesulfonic acid",2022-07-27,"LH",0.00058229805961543,"230616_Smp_27July-LH_2",2574.28402,28262.54342,10.9787976774995,2.06031725794136e-08
"28","Ethanesulfonic acid",2022-07-27,"LH",0.00148552301545541,"230616_Smp_27July-LH_3",2662.613278,28495.09614,10.7019282054373,5.21325847843028e-08
"29","Ethanesulfonic acid",2022-07-27,"LL",0.00035967696431069,"230616_Smp_27July-LL_1",939.6974365,9737.048695,10.3618976883311,3.69390125876011e-08
"30","Ethanesulfonic acid",2022-07-27,"LL",0.00010517910088105,"230616_Smp_27July-LL_2",966.664390666667,9603.34338,9.93451654237205,1.09523419833239e-08
"31","Ethanesulfonic acid",2022-07-27,"LL",0.00223642560802664,"230616_Smp_27July-LL_3",1154.727914,10410.86432,9.01585922863557,2.14816516600866e-07
"32","Ethanesulfonic acid",2022-07-27,"RH",0.00124927594676314,"230616_Smp_27July-RH_2",2509.253898,31183.55714,12.4274220176981,4.00620089989881e-08
